Time;;ID (hex);Data (hex)
15:35:55.092;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.095;;18FFF003;00 00 00 00 00 00 00 00
15:35:55.096;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.100;;18FFF103;00 00 00 00 00 00 00 FF
15:35:55.105;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:55.108;;18FF0104;00 10 00 35 00 00 00 00
15:35:55.110;;18F00400;FF FF FF FF FF FF FF FF
15:35:55.111;;18EEFF17;00 00 00 00 00 00 00 00
15:35:55.112;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.115;;18FEE500;FF FF FF FF FF FF FF FF
15:35:55.116;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.120;;18FEEF00;FF FF FF FF FF FF FF FF
15:35:55.128;;18FF0104;00 10 00 35 00 00 00 00
15:35:55.132;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.136;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.140;;18FFF403;2A 00 00 00 00 00 00 2A
15:35:55.145;;18FFF003;00 00 00 00 00 00 00 00
15:35:55.148;;18FF0104;00 10 00 35 00 00 00 00
15:35:55.150;;18FFF103;00 00 00 00 00 00 00 FF
15:35:55.152;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.155;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:55.156;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.160;;18F00400;FF FF FF FF FF FF FF FF
15:35:55.165;;18FEE400;FF FF FF FF FF FF FF FF
15:35:55.168;;18FF0104;00 10 00 35 00 00 00 00
15:35:55.172;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.176;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.188;;18FF0104;00 10 00 35 00 00 00 00
15:35:55.190;;18FFF403;2A 00 00 00 00 00 00 2A
15:35:55.192;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.195;;18FFF003;00 00 00 00 00 00 00 00
15:35:55.196;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.200;;18FFF103;00 00 00 00 00 00 00 FF
15:35:55.205;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:55.208;;18FF0104;00 10 00 35 00 00 00 00
15:35:55.210;;18F00400;FF FF FF FF FF FF FF FF
15:35:55.212;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.215;;18FD0700;FF FF FF FF FF FF FF FF
15:35:55.216;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.228;;18FF0104;00 10 00 35 00 00 00 00
