Bus,No,Time,State,ID (hex),DLC,Data (hex),ASCII
USB-to-CAN V2 compact  CAN-1,395,15:35:56.052,  E   ,18FEF704,8,FF FF FF FF 13 02 FF FF,........
USB-to-CAN V2 compact  CAN-1,396,15:35:56.055,  E   ,18FEF803,8,FF FF FF FF C0 27 FF FF,.....'..
USB-to-CAN V2 compact  CAN-1,397,15:35:56.056,  E   ,18FFF504,8,FF 82 00 FF 00 07 FF 01,........
USB-to-CAN V2 compact  CAN-1,398,15:35:56.060,  E   ,18F00400,8,00 7D 7D 00 00 07 00 7D,.}}....}
USB-to-CAN V2 compact  CAN-1,399,15:35:56.068,  E   ,18FF0104,8,00 10 00 09 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,400,15:35:56.072,  E   ,18FEF704,8,FF FF FF FF 13 02 FF FF,........
USB-to-CAN V2 compact  CAN-1,401,15:35:56.076,  E   ,18FFF504,8,FF 82 00 FF 00 07 FF 01,........
USB-to-CAN V2 compact  CAN-1,402,15:35:56.077,  E   , CFDD680,8,01 00 01 00 F0 30 3F FF,.....0?.
USB-to-CAN V2 compact  CAN-1,403,15:35:56.078,  E   , CFDD780,8,F3 FF FF FF FF FF FF FF,........
USB-to-CAN V2 compact  CAN-1,404,15:35:56.088,  E   ,18FF0104,8,00 10 00 09 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,405,15:35:56.090,  E   ,18FFF403,8,2A 00 00 00 00 00 00 2A,*......*
USB-to-CAN V2 compact  CAN-1,406,15:35:56.092,  E   ,18FEF704,8,FF FF FF FF 13 02 FF FF,........
USB-to-CAN V2 compact  CAN-1,407,15:35:56.095,  E   ,18FFF003,8,00 00 00 00 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,408,15:35:56.096,  E   ,18FFF504,8,FF 82 00 FF 00 07 FF 01,........
USB-to-CAN V2 compact  CAN-1,409,15:35:56.100,  E   ,18FFF103,8,00 00 00 00 00 00 00 FF,........
USB-to-CAN V2 compact  CAN-1,410,15:35:56.104,  E   , CFDD680,8,01 00 01 00 F0 30 3F FF,.....0?.
